Loan ID,Customer ID,Current Loan Amount($),Term,Annual Income($),Years in current job,Home Ownership,Purpose,Monthly Debt($),Current Credit Balance($),Maximum Open Credit($),Bankruptcies,Loan/Income Ratio,Monthly_debt/Income ratio,Credit/Income Ratio,Credit lef($)
65688ec3,d3790b57,20000.0,Short Term,120000.0,10+ years,Rent,Debt Consolidation,1200.0,10000.0,20000.0,0.0,0.17,0.12,0.17,10000.0
d4fe49c5,a0b2bc45,80000.0,Long Term,180000.0,1 year,Rent,Debt Consolidation,3700.0,50000.0,90000.0,0.0,0.44,0.25,0.5,40000.0
534159bc,5e374d0a,50000.0,Long Term,100000.0,1 year,Rent,Debt Consolidation,1400.0,10000.0,20000.0,0.0,0.5,0.17,0.2,10000.0
8310d972,ef9ddefc,60000.0,Short Term,260000.0,2 years,Rent,Debt Consolidation,4600.0,10000.0,229999.99999999997,0.0,0.23,0.21,0.88,220000.0
119b9755,746fc09f,20000.0,Long Term,210000.0,1 year,Mortgage,Debt Consolidation,2200.0,20000.0,50000.0,1.0,0.1,0.13,0.24,30000.0
61d9fcf2,4d1fef0f,30000.0,Long Term,490000.00000000006,3 years,Rent,Debt Consolidation,3000.0,20000.0,110000.00000000001,0.0,0.06,0.07,0.22,90000.0
2948d139,659b0c70,10000.0,Long Term,80000.0,4 years,Mortgage,Debt Consolidation,1500.0,20000.0,70000.0,0.0,0.12,0.22,0.88,50000.0
2107184a,866ee209,30000.0,Long Term,140000.0,4 years,Rent,Debt Consolidation,3100.0,0.0,10000.0,0.0,0.21,0.27,0.07,10000.0
f30d1652,cb67a8b2,20000.0,Short Term,110000.00000000001,3 years,Rent,Other,400.0,10000.0,10000.0,0.0,0.18,0.04,0.09,0.0
96352ce5,477c70fa,10000.0,Short Term,220000.00000000003,10+ years,Own Home,Medical Bills,3800.0,70000.0,110000.00000000001,0.0,0.05,0.21,0.5,40000.0
875edb92,9813f700,40000.0,Long Term,100000.0,2 years,Rent,Debt Consolidation,2700.0,40000.0,110000.00000000001,0.0,0.4,0.32,1.1,70000.0
a4f187d0,8de92ad9,10000.0,Short Term,240000.0,10+ years,Rent,Debt Consolidation,1500.0,20000.0,50000.0,0.0,0.04,0.08,0.21,30000.0
dee684fd,7ec274f2,30000.0,Short Term,90000.0,4 years,Mortgage,Debt Consolidation,1400.0,40000.0,60000.0,0.0,0.33,0.19,0.67,20000.0
d1fc9fab,4ef48201,20000.0,Short Term,120000.0,7 years,Own Home,Debt Consolidation,1300.0,20000.0,30000.0,0.0,0.17,0.13,0.25,10000.0
5caa7b9b,1dd6d4cc,30000.0,Short Term,150000.0,10+ years,Rent,Debt Consolidation,1000.0,40000.0,100000.0,0.0,0.2,0.08,0.67,60000.0
14357507,15980a3b,20000.0,Short Term,100000.0,10+ years,Mortgage,Debt Consolidation,1400.0,20000.0,40000.0,0.0,0.2,0.17,0.4,20000.0
872e132f,d2cab0de,10000.0,Short Term,130000.0,3 years,Rent,Debt Consolidation,2800.0,10000.0,30000.0,0.0,0.08,0.26,0.23,20000.0
6d56e22d,bd45417d,10000.0,Short Term,130000.0,10+ years,Mortgage,Debt Consolidation,400.0,40000.0,220000.00000000003,0.0,0.08,0.04,1.69,180000.0
f07b51a2,cf7843b1,30000.0,Long Term,90000.0,2 years,Rent,Debt Consolidation,2200.0,40000.0,50000.0,0.0,0.33,0.29,0.56,10000.0
885c40ae,eb7d366d,40000.0,Long Term,120000.0,10+ years,Mortgage,Debt Consolidation,2000.0,40000.0,100000.0,0.0,0.33,0.2,0.83,60000.0
57c8c784,7e5e0b4e,40000.0,Short Term,110000.00000000001,4 years,Rent,Debt Consolidation,1500.0,40000.0,70000.0,0.0,0.36,0.16,0.64,30000.0
99565f3b,8248911f,20000.0,Short Term,100000.0,1 year,Rent,Other,1500.0,10000.0,30000.0,0.0,0.2,0.18,0.3,20000.0
3fad35c7,52c65ac6,30000.0,Long Term,350000.0,7 years,Rent,Business Loan,800.0,10000.0,30000.0,0.0,0.09,0.03,0.09,20000.0
20bca72c,0dfab644,70000.0,Short Term,380000.0,3 years,Mortgage,Debt Consolidation,2600.0,60000.0,90000.0,0.0,0.18,0.08,0.24,30000.0
572b4f50,f25cc8c7,30000.0,Short Term,60000.0,10+ years,Rent,Debt Consolidation,1000.0,20000.0,190000.0,0.0,0.5,0.2,3.17,170000.0
170a2bf9,5dfd5741,80000.0,Long Term,260000.0,3 years,Rent,Debt Consolidation,4600.0,110000.00000000001,300000.0,0.0,0.31,0.21,1.15,190000.0
efd9fafc,13f957c2,50000.0,Long Term,150000.0,10+ years,Rent,Debt Consolidation,2200.0,20000.0,30000.0,0.0,0.33,0.18,0.2,10000.0
f8edc5d8,13a01f7f,30000.0,Short Term,150000.0,8 years,Rent,Debt Consolidation,1799.9999999999998,10000.0,20000.0,0.0,0.2,0.14,0.13,10000.0
a900656d,9efee5e3,10000.0,Short Term,140000.0,4 years,Mortgage,Debt Consolidation,2900.0,20000.0,50000.0,0.0,0.07,0.25,0.36,30000.0
01579727,2041dcbb,30000.0,Short Term,90000.0,1 year,Rent,Debt Consolidation,1600.0,60000.0,120000.0,0.0,0.33,0.21,1.33,60000.0
008f1b41,ebc1af23,20000.0,Short Term,120000.0,10+ years,Mortgage,Other,2700.0,50000.0,100000.0,0.0,0.17,0.27,0.83,50000.0
ea65b743,a68ab034,0.0,Long Term,80000.0,10+ years,Mortgage,Other,1500.0,10000.0,20000.0,1.0,0.0,0.22,0.25,10000.0
7648926c,34505802,80000.0,Long Term,190000.0,5 years,Mortgage,Home Improvements,1100.0,10000.0,60000.0,0.0,0.42,0.07,0.32,50000.0
976a2cac,5605bbbb,20000.0,Short Term,60000.0,5 years,Mortgage,Debt Consolidation,500.0,10000.0,70000.0,0.0,0.33,0.1,1.17,60000.0
1eb4c0ae,6d8b52bc,10000.0,Short Term,80000.0,5 years,Rent,Debt Consolidation,1400.0,10000.0,10000.0,0.0,0.12,0.21,0.12,0.0
210e2ee1,06224fbc,10000.0,Short Term,130000.0,3 years,Rent,Debt Consolidation,2000.0,20000.0,20000.0,0.0,0.08,0.18,0.15,0.0
7d91aa45,ba3d1f80,20000.0,Short Term,70000.0,2 years,Mortgage,Other,800.0,20000.0,40000.0,0.0,0.29,0.14,0.57,20000.0
a203fa20,7751a8b5,10000.0,Short Term,80000.0,3 years,Rent,Debt Consolidation,1600.0,0.0,10000.0,1.0,0.12,0.24,0.12,10000.0
4b6f02e7,80a7033a,10000.0,Short Term,50000.0,2 years,Rent,Other,100.0,0.0,0.0,0.0,0.2,0.02,0.0,0.0
697dc6eb,f4e5fa2d,30000.0,Short Term,140000.0,10+ years,Rent,Debt Consolidation,2200.0,80000.0,120000.0,0.0,0.21,0.19,0.86,40000.0
4a624373,a95bb35b,80000.0,Long Term,300000.0,8 years,Mortgage,Debt Consolidation,4700.0,80000.0,110000.00000000001,0.0,0.27,0.19,0.37,30000.0
81efdeb9,6f7e54ce,10000.0,Short Term,120000.0,8 years,Mortgage,Debt Consolidation,2000.0,20000.0,40000.0,0.0,0.08,0.2,0.33,20000.0
fac9e81c,bfd757dd,20000.0,Long Term,120000.0,5 years,Mortgage,Home Improvements,1400.0,30000.0,50000.0,0.0,0.17,0.14,0.42,20000.0
26881993,815fa30f,20000.0,Short Term,60000.0,2 years,Rent,Debt Consolidation,1799.9999999999998,10000.0,20000.0,0.0,0.33,0.36,0.33,10000.0
77621b6d,f146a5b4,40000.0,Long Term,160000.0,10+ years,Mortgage,Debt Consolidation,3000.0,50000.0,70000.0,0.0,0.25,0.22,0.44,20000.0
90eacbeb,7d15886f,40000.0,Long Term,150000.0,5 years,Rent,Debt Consolidation,700.0,40000.0,60000.0,1.0,0.27,0.06,0.4,20000.0
ab2dd4c2,f8b00641,20000.0,Long Term,80000.0,5 years,Rent,Debt Consolidation,1000.0,10000.0,30000.0,0.0,0.25,0.15,0.38,20000.0
8b38a9dd,e2e348a4,40000.0,Long Term,120000.0,1 year,Mortgage,Debt Consolidation,3000.0,60000.0,100000.0,0.0,0.33,0.3,0.83,40000.0
e18004ba,1bfb21be,30000.0,Long Term,270000.0,3 years,Mortgage,Debt Consolidation,3100.0,10000.0,20000.0,1.0,0.11,0.14,0.07,10000.0
e1b24cf6,d706cc64,50000.0,Long Term,190000.0,10+ years,Mortgage,Debt Consolidation,2000.0,10000.0,20000.0,0.0,0.26,0.13,0.11,10000.0
79806be3,e397c739,30000.0,Short Term,80000.0,7 years,Mortgage,Other,1300.0,40000.0,90000.0,0.0,0.38,0.19,1.12,50000.0
46042ce5,f5ab66a2,10000.0,Short Term,160000.0,10+ years,Mortgage,Other,3000.0,80000.0,100000.0,0.0,0.06,0.22,0.62,20000.0
b2d8c240,c9ed627f,10000.0,Short Term,30000.0,1 year,Rent,Debt Consolidation,0.0,0.0,20000.0,1.0,0.33,0.0,0.67,20000.0
e5aee504,4034c5b1,10000.0,Short Term,110000.00000000001,1 year,Rent,Buy a Car,700.0,10000.0,50000.0,0.0,0.09,0.08,0.45,40000.0
4743708e,ac8077f4,50000.0,Long Term,200000.0,10+ years,Rent,Debt Consolidation,3100.0,30000.0,40000.0,0.0,0.25,0.19,0.2,10000.0
4d944982,eb20a422,50000.0,Short Term,180000.0,10+ years,Mortgage,Debt Consolidation,3599.9999999999995,70000.0,160000.0,0.0,0.28,0.24,0.89,90000.0
620f3b20,1df86adb,20000.0,Long Term,130000.0,10+ years,Mortgage,Medical Bills,1400.0,20000.0,140000.0,0.0,0.15,0.13,1.08,120000.0
8f9d314b,cc405aff,20000.0,Long Term,100000.0,9 years,Mortgage,Debt Consolidation,1500.0,10000.0,30000.0,0.0,0.2,0.18,0.3,20000.0
1b4770da,f6171bc8,50000.0,Short Term,200000.0,10+ years,Mortgage,Debt Consolidation,2200.0,30000.0,140000.0,0.0,0.25,0.13,0.7,110000.0
f0c23640,f2deb1ca,20000.0,Long Term,160000.0,6 years,Mortgage,Debt Consolidation,3300.0,30000.0,120000.0,0.0,0.12,0.25,0.75,90000.0
4a6b72d0,2bc9fb41,80000.0,Long Term,170000.0,10+ years,Mortgage,Debt Consolidation,3000.0,10000.0,10000.0,0.0,0.47,0.21,0.06,0.0
b0f056bc,fc2edb06,80000.0,Short Term,160000.0,10+ years,Mortgage,Debt Consolidation,2400.0,60000.0,240000.0,0.0,0.5,0.18,1.5,180000.0
cfd7fec3,ba11f91a,10000.0,Short Term,90000.0,8 years,Rent,Debt Consolidation,1000.0,10000.0,10000.0,0.0,0.11,0.13,0.11,0.0
374d894c,af7c3041,20000.0,Short Term,60000.0,1 year,Rent,Debt Consolidation,800.0,20000.0,40000.0,0.0,0.33,0.16,0.67,20000.0
e9ec45d6,796c86b4,20000.0,Short Term,70000.0,1 year,Rent,Other,800.0,10000.0,30000.0,0.0,0.29,0.14,0.43,20000.0
d1e923ec,3a202b99,40000.0,Short Term,240000.0,2 years,Rent,Debt Consolidation,3700.0,50000.0,90000.0,0.0,0.17,0.18,0.38,40000.0
a0b5d6a8,37932ab9,80000.0,Short Term,150000.0,4 years,Mortgage,Debt Consolidation,2200.0,90000.0,110000.00000000001,0.0,0.53,0.18,0.73,20000.0
7a803b96,6e7f77ef,20000.0,Short Term,130000.0,5 years,Rent,Debt Consolidation,2000.0,20000.0,40000.0,0.0,0.15,0.18,0.31,20000.0
fd149f1c,64c4b5c9,30000.0,Short Term,150000.0,3 years,Rent,Debt Consolidation,2000.0,20000.0,50000.0,0.0,0.2,0.16,0.33,30000.0
7b58bc6b,13e17170,70000.0,Short Term,180000.0,2 years,Mortgage,Debt Consolidation,2800.0,20000.0,70000.0,0.0,0.39,0.19,0.39,50000.0
3facb4ad,8dc6eba5,20000.0,Short Term,170000.0,10+ years,Mortgage,Debt Consolidation,1900.0,10000.0,20000.0,0.0,0.12,0.13,0.12,10000.0
d00c7418,f461eb36,20000.0,Short Term,60000.0,1 year,Own Home,Home Improvements,100.0,10000.0,60000.0,0.0,0.33,0.02,1.0,50000.0
eb427bde,78563092,10000.0,Short Term,80000.0,8 years,Mortgage,Debt Consolidation,800.0,20000.0,30000.0,0.0,0.12,0.12,0.38,10000.0
d17473da,7964061b,50000.0,Short Term,200000.0,8 years,Mortgage,Debt Consolidation,2800.0,120000.0,140000.0,0.0,0.25,0.17,0.7,20000.0
e31c29cf,fb394d3e,40000.0,Short Term,190000.0,10+ years,Mortgage,Home Improvements,2700.0,50000.0,80000.0,0.0,0.21,0.17,0.42,30000.0
b6e99e16,69013861,30000.0,Long Term,90000.0,,Mortgage,Debt Consolidation,2100.0,0.0,10000.0,0.0,0.33,0.28,0.11,10000.0
29209e40,b4d7ff7f,60000.0,Long Term,240000.0,2 years,Rent,Debt Consolidation,2100.0,10000.0,50000.0,0.0,0.25,0.1,0.21,40000.0
c44ca1fc,27dc8870,30000.0,Short Term,320000.0,2 years,Rent,Debt Consolidation,1100.0,30000.0,90000.0,0.0,0.09,0.04,0.28,60000.0
6348a923,e160c4fa,10000.0,Short Term,200000.0,10+ years,Mortgage,Other,4500.0,30000.0,40000.0,0.0,0.05,0.27,0.2,10000.0
6c46a87e,22c52e25,0.0,Short Term,80000.0,10+ years,Mortgage,Other,1000.0,0.0,10000.0,0.0,0.0,0.15,0.12,10000.0
1a0951dd,d7a2f983,10000.0,Short Term,110000.00000000001,1 year,Own Home,Other,800.0,0.0,10000.0,0.0,0.09,0.09,0.09,10000.0
e92b5887,d8587134,80000.0,Long Term,320000.0,10+ years,Rent,Business Loan,2500.0,0.0,30000.0,1.0,0.25,0.09,0.09,30000.0
545f60ac,5ec42efb,0.0,Short Term,80000.0,10+ years,Rent,Home Improvements,800.0,10000.0,60000.0,0.0,0.0,0.12,0.75,50000.0
a8a6724e,e1c4ba79,40000.0,Short Term,130000.0,4 years,Rent,Debt Consolidation,2600.0,10000.0,40000.0,0.0,0.31,0.24,0.31,30000.0
dfa94735,644a28a7,10000.0,Short Term,90000.0,7 years,Mortgage,Debt Consolidation,1500.0,10000.0,20000.0,0.0,0.11,0.2,0.22,10000.0
9d892d0d,c9047ab7,40000.0,Short Term,229999.99999999997,4 years,Mortgage,Home Improvements,2200.0,20000.0,30000.0,0.0,0.17,0.11,0.13,10000.0
f0ab9acc,0be4677d,10000.0,Short Term,40000.0,3 years,Rent,Debt Consolidation,899.9999999999999,0.0,10000.0,0.0,0.25,0.27,0.25,10000.0
a44e0215,bb88fb8d,10000.0,Long Term,40000.0,1 year,Rent,Other,800.0,10000.0,10000.0,0.0,0.25,0.24,0.25,0.0
0bf9cfd3,0a58217f,30000.0,Long Term,120000.0,10+ years,Mortgage,Debt Consolidation,1100.0,10000.0,20000.0,0.0,0.25,0.11,0.17,10000.0
a0c5de8b,e4e3f010,10000.0,Short Term,60000.0,3 years,Rent,Debt Consolidation,500.0,0.0,10000.0,0.0,0.17,0.1,0.17,10000.0
350f8d58,b8ec6859,20000.0,Short Term,60000.0,1 year,Rent,Debt Consolidation,1400.0,10000.0,40000.0,0.0,0.33,0.28,0.67,30000.0
0db1e80a,881e9e73,40000.0,Short Term,140000.0,10+ years,Mortgage,Debt Consolidation,3700.0,210000.0,400000.0,0.0,0.29,0.32,2.86,190000.0
3df2de5c,0f597778,40000.0,Short Term,90000.0,6 years,Mortgage,Debt Consolidation,1900.0,0.0,0.0,0.0,0.44,0.25,0.0,0.0
3e698954,ec2b37e1,50000.0,Short Term,180000.0,8 years,Mortgage,Debt Consolidation,3400.0000000000005,50000.0,80000.0,0.0,0.28,0.23,0.44,30000.0
54f66553,f1671067,10000.0,Short Term,130000.0,4 years,Rent,Debt Consolidation,1300.0,20000.0,20000.0,0.0,0.08,0.12,0.15,0.0
5692a0fd,5914fa0d,10000.0,Short Term,70000.0,10+ years,Rent,Medical Bills,500.0,10000.0,20000.0,1.0,0.14,0.09,0.29,10000.0
dccfdd5b,72e0e902,10000.0,Short Term,130000.0,10+ years,Mortgage,Debt Consolidation,2500.0,70000.0,140000.0,0.0,0.08,0.23,1.08,70000.0
b2103475,19a99c3c,20000.0,Short Term,100000.0,10+ years,Rent,Other,700.0,20000.0,50000.0,0.0,0.2,0.08,0.5,30000.0
fee689ce,cd28c9e7,30000.0,Short Term,160000.0,2 years,Rent,Debt Consolidation,1300.0,20000.0,40000.0,0.0,0.19,0.1,0.25,20000.0
b45c6064,2da75d2a,30000.0,Long Term,170000.0,10+ years,Mortgage,Home Improvements,2100.0,20000.0,30000.0,0.0,0.18,0.15,0.18,10000.0
7dfc1e9f,684a3ca2,20000.0,Short Term,100000.0,9 years,Rent,Other,800.0,20000.0,30000.0,0.0,0.2,0.1,0.3,10000.0
0bbee426,4aff92fb,20000.0,Short Term,80000.0,1 year,Own Home,Other,1700.0000000000002,40000.0,70000.0,0.0,0.25,0.26,0.88,30000.0
311e9385,38ef37f8,20000.0,Short Term,50000.0,3 years,Rent,Debt Consolidation,400.0,10000.0,30000.0,0.0,0.4,0.1,0.6,20000.0
55a2bb5e,b3b3c5c1,20000.0,Short Term,70000.0,10+ years,Rent,Debt Consolidation,1100.0,30000.0,40000.0,0.0,0.29,0.19,0.57,10000.0
31e379bf,4c29eb9f,30000.0,Short Term,140000.0,6 years,Rent,Debt Consolidation,2300.0,30000.0,30000.0,0.0,0.21,0.2,0.21,0.0
1719704e,c034b68f,30000.0,Short Term,210000.0,3 years,Mortgage,Debt Consolidation,2300.0,30000.0,70000.0,0.0,0.14,0.13,0.33,40000.0
fe48b90e,52af7f4e,50000.0,Short Term,180000.0,1 year,Rent,Debt Consolidation,1400.0,20000.0,40000.0,0.0,0.28,0.09,0.22,20000.0
7e8bf45d,9d275da0,20000.0,Short Term,100000.0,10+ years,Rent,Debt Consolidation,1700.0000000000002,30000.0,40000.0,0.0,0.2,0.2,0.4,10000.0
295e39eb,f8761816,50000.0,Short Term,170000.0,10+ years,Mortgage,Debt Consolidation,1200.0,30000.0,50000.0,0.0,0.29,0.08,0.29,20000.0
d45e0169,f02023f0,40000.0,Short Term,140000.0,10+ years,Mortgage,Debt Consolidation,600.0,10000.0,30000.0,0.0,0.29,0.05,0.21,20000.0
b1f7294d,7680fc52,20000.0,Short Term,290000.0,6 years,Rent,Other,2300.0,30000.0,50000.0,0.0,0.07,0.1,0.17,20000.0
cf677437,ec2406be,40000.0,Short Term,120000.0,3 years,Rent,Debt Consolidation,2600.0,40000.0,50000.0,0.0,0.33,0.26,0.42,10000.0
35e87c65,df8f71f4,20000.0,Short Term,50000.0,5 years,Rent,Debt Consolidation,899.9999999999999,30000.0,70000.0,0.0,0.4,0.22,1.4,40000.0
b0abe073,c81f55de,20000.0,Short Term,120000.0,9 years,Mortgage,Debt Consolidation,2500.0,40000.0,40000.0,0.0,0.17,0.25,0.33,0.0
7414a8f0,c3626e7a,50000.0,Long Term,250000.0,8 years,Rent,Debt Consolidation,2000.0,50000.0,110000.00000000001,0.0,0.2,0.1,0.44,60000.0
fb697810,bce038de,50000.0,Long Term,160000.0,10+ years,Mortgage,Other,2800.0,220000.00000000003,540000.0,0.0,0.31,0.21,3.38,320000.0
f340deb1,d53af568,10000.0,Short Term,40000.0,2 years,Mortgage,Debt Consolidation,600.0,10000.0,10000.0,0.0,0.25,0.18,0.25,0.0
014b7156,8eeb4877,20000.0,Long Term,60000.0,,Mortgage,Debt Consolidation,600.0,40000.0,150000.0,0.0,0.33,0.12,2.5,110000.0
c35cedca,d232c53b,20000.0,Short Term,150000.0,,Rent,Debt Consolidation,3000.0,30000.0,50000.0,1.0,0.13,0.24,0.33,20000.0
e52b1146,7f754633,40000.0,Short Term,120000.0,1 year,Mortgage,Debt Consolidation,2800.0,50000.0,70000.0,0.0,0.33,0.28,0.58,20000.0
3ae5ca1b,a619f2aa,20000.0,Short Term,60000.0,5 years,Mortgage,Debt Consolidation,700.0,30000.0,50000.0,0.0,0.33,0.14,0.83,20000.0
f7374548,a1a97f24,10000.0,Short Term,160000.0,10+ years,Mortgage,Debt Consolidation,1400.0,40000.0,40000.0,0.0,0.06,0.1,0.25,0.0
76cf3285,975cb9dd,20000.0,Short Term,130000.0,1 year,Rent,Debt Consolidation,1600.0,20000.0,30000.0,1.0,0.15,0.15,0.23,10000.0
a8a1ff3a,5dbbd929,10000.0,Short Term,100000.0,9 years,Rent,Buy a Car,300.0,10000.0,30000.0,0.0,0.1,0.04,0.3,20000.0
b0bc39c4,4e90c969,30000.0,Short Term,120000.0,10+ years,Rent,Debt Consolidation,2500.0,10000.0,20000.0,0.0,0.25,0.25,0.17,10000.0
2f23b2cc,5c59bb1e,30000.0,Short Term,70000.0,2 years,Mortgage,Debt Consolidation,800.0,20000.0,50000.0,0.0,0.43,0.14,0.71,30000.0
69382bb1,62879dc8,80000.0,Short Term,280000.0,1 year,Mortgage,Debt Consolidation,2300.0,40000.0,50000.0,0.0,0.29,0.1,0.18,10000.0
88a599fc,8f85275d,40000.0,Long Term,300000.0,10+ years,Mortgage,Debt Consolidation,4600.0,60000.0,120000.0,0.0,0.13,0.18,0.4,60000.0
617b1d39,d11812df,10000.0,Short Term,90000.0,10+ years,Own Home,Debt Consolidation,1500.0,10000.0,50000.0,1.0,0.11,0.2,0.56,40000.0
e583c5f6,824978fb,30000.0,Short Term,130000.0,10+ years,Rent,Debt Consolidation,3000.0,30000.0,140000.0,0.0,0.23,0.28,1.08,110000.0
796e46ac,82c5e0ea,20000.0,Short Term,180000.0,2 years,Rent,Other,1500.0,20000.0,50000.0,0.0,0.11,0.1,0.28,30000.0
5c6ede3e,381055d7,20000.0,Short Term,140000.0,10+ years,Mortgage,Debt Consolidation,400.0,10000.0,10000.0,1.0,0.14,0.03,0.07,0.0
778cfdb2,24d2269d,50000.0,Long Term,90000.0,7 years,Mortgage,Debt Consolidation,1000.0,0.0,20000.0,1.0,0.56,0.13,0.22,20000.0
